年份,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,基隆市,新竹市,嘉義市
111,3425,3770,1709,3540,1970,3020,347,415,375,1031,415,484,267,632,155,270,293,442,395
110,3374,3697,1647,3480,1945,2994,342,411,376,1033,420,491,267,634,157,273,290,434,390
109,3339,3663,1614,3455,1940,2968,341,406,376,1031,420,489,270,639,158,274,294,431,399
108,3318,3626,1578,3440,1919,2962,342,397,368,1031,418,492,267,632,158,283,297,434,399
107,3275,3572,1570,3412,1913,2942,343,389,370,1032,424,486,268,623,160,278,295,435,399
106,3233,3542,1545,3405,1886,2923,338,373,367,1024,423,480,269,622,160,276,290,427,400
105,3206,3490,1528,3354,1867,2865,324,375,371,1026,422,489,270,625,158,270,287,426,395
104,3179,3452,1497,3296,1851,2853,320,365,373,1021,422,489,267,619,154,267,288,429,401
103,3143,3412,1488,3274,1839,2818,327,351,376,1029,423,493,267,629,154,267,288,430,397
102,3068,3342,1466,3228,1815,2780,328,340,370,1027,418,488,266,621,155,263,289,423,396
101,3018,3282,1432,3198,1799,2745,323,326,370,1008,418,483,265,621,152,271,285,416,390
100,2953,3214,1413,3145,1780,2711,317,325,360,1006,413,483,263,624,151,264,274,418,384
99,2855,3108,1393,3082,1736,2660,312,313,354,990,405,489,263,626,146,264,274,400,383
98,2808,3006,1363,3010,1696,2585,308,317,351,983,407,492,262,623,145,267,270,391,382
97,2756,2970,1325,3020,1682,2568,302,315,353,991,412,502,261,626,152,273,275,380,376
96,2728,2906,1304,2968,1657,2530,306,308,346,976,407,496,263,622,150,269,274,374,371
95,2687,2852,1279,2935,1627,2516,302,301,341,969,398,496,256,617,150,269,281,369,374
94,2651,2794,1286,2920,1580,2488,292,293,345,951,401,486,248,597,146,266,278,371,370
93,2638,2762,1305,2856,1567,2434,291,276,332,938,400,485,243,590,149,264,284,360,363
92,2575,2696,1241,2803,1528,2364,291,258,321,910,393,474,241,580,142,256,288,362,354
91,2494,2592,1211,2711,1481,2298,285,251,320,866,377,457,227,569,140,248,283,359,352
90,2492,2580,1193,2696,1477,2293,290,248,323,876,372,453,232,597,139,260,291,375,352
89,2444,2560,1158,2649,1472,2271,300,245,332,867,362,443,238,580,133,277,288,360,351
88,2367,2564,1097,2599,1473,2203,281,237,327,847,374,442,222,565,128,270,289,356,349
87,2323,2552,1108,2591,1478,2198,278,241,344,846,401,451,222,538,129,261,289,324,357
