年份,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,基隆市,新竹市,嘉義市
111,53,37,35,65,35,86,9,10,15,30,10,16,4,23,7,10,9,9,12
110,54,37,34,66,35,85,9,10,14,31,10,16,4,22,7,10,9,8,12
109,54,36,34,67,36,84,9,11,14,31,10,16,4,22,7,10,9,8,12
108,53,36,34,67,36,85,9,11,15,31,10,16,4,22,7,10,9,8,12
107,54,36,35,68,36,85,9,10,15,31,11,15,4,23,7,10,9,8,12
106,54,36,35,68,37,85,9,9,15,31,11,15,4,23,7,10,9,8,12
105,53,36,35,70,37,89,9,9,15,33,11,15,4,23,7,10,9,8,12
104,53,37,34,68,39,90,10,9,15,33,11,15,4,25,7,10,9,8,12
103,57,38,35,68,36,88,10,9,15,33,11,15,4,26,7,11,9,8,12
102,58,39,34,66,36,89,10,9,15,32,11,15,4,26,7,11,8,8,12
101,58,39,35,66,35,92,10,10,15,34,11,15,4,27,7,11,8,8,12
100,58,39,35,68,35,94,10,10,16,35,11,15,4,27,7,11,7,8,12
99,57,39,36,68,36,94,10,10,16,36,11,15,4,26,7,11,7,8,12
98,60,39,35,68,37,94,10,10,17,36,11,16,4,27,7,11,7,8,12
97,60,40,33,69,38,95,12,9,17,37,10,15,4,28,7,10,7,8,11
96,60,40,33,70,40,99,12,9,17,37,10,18,6,30,7,10,7,8,12
95,63,40,35,70,47,101,12,9,16,37,10,19,6,31,7,10,8,8,13
94,65,41,36,68,49,104,11,10,16,37,11,19,6,33,7,10,8,8,12
93,64,52,36,71,51,111,11,10,17,37,11,22,8,34,7,10,9,9,13
92,62,52,35,68,53,111,12,10,17,40,11,22,8,34,10,10,9,9,14
91,66,53,34,69,56,115,12,11,17,39,12,23,9,35,10,10,9,9,14
90,70,53,34,75,60,119,11,11,18,43,14,23,9,37,10,10,10,8,13
89,71,55,36,81,62,125,11,11,18,45,16,24,8,41,12,11,10,9,14
88,74,56,36,82,68,126,15,11,19,49,17,24,7,45,11,13,11,11,16
87,82,58,38,80,67,130,15,11,20,53,18,22,6,46,12,13,11,12,17
